column_label,STNAME,AGENCY,POP,GROUP,total_arrests_race_data,total_White_arrests,total_African_American_arrests,total_violent_arrests,total_marijuana_possession_arrests_race_data,total_White_marijuana_possession_arrests,total_African_American_marijuana_possession_arrests,total_marijuana_possession_and_sale_arrests_race_data,total_White_marijuana_possession_and_sale_arrests,total_African_American_marijuana_possession_and_sale_arrests,total_non_violent_non_drug_misdemeanor_arrests_race_data,total_White_non_drug_misdemeanor_arrests,total_African_American_non_drug_misdemeanor_arrests
UCR_2014,N Y,BUFFALO,258419,1C,20255,8162,11908,5739,1963,487,1463,2045,495,1537,1110,452,649
UCR_2014,NEBR,LINCOLN,271208,1C,20032,15180,4260,4105,1416,1029,363,1483,1084,373,2680,1982,573
UCR_2014,NEV,HENDERSON,274121,1C,10531,8341,1841,2838,303,231,62,303,231,62,192,163,23
UCR_2014,NEV,LAS VEGAS METRO PD,1530899,1A,86532,51615,31532,21038,3048,1556,1415,3705,1788,1829,5335,3492,1655
UCR_2014,OHIO,CLEVELAND,388655,1C,11799,2787,8995,4687,273,34,238,303,40,262,442,101,341
UCR_2014,OHIO,COLUMBUS,830811,1B,10308,4722,5534,2995,329,100,228,339,102,236,325,151,173
UCR_2014,OKLA,OKLAHOMA CITY,617975,1B,28085,16796,9809,6510,1688,886,745,1786,934,792,3190,1795,1017
UCR_2014,OKLA,TULSA,399556,1C,17416,10499,5952,5886,577,283,273,760,331,405,3011,1874,840
UCR_2014,PA,PHILADELPHIA,1559062,1A,113716,36635,76159,19884,2855,464,2373,4557,808,3718,18645,4584,13853
UCR_2014,PA,PITTSBURGH,307613,1C,20053,8518,11441,5397,953,254,697,1080,286,790,2911,1537,1347
UCR_2014,TENN,MEMPHIS,654922,1B,47186,5973,41025,14050,1682,128,1550,2305,156,2142,5430,778,4622
UCR_2014,TEXAS,ARLINGTON,382976,1C,20807,12159,8364,4969,1657,821,815,1679,831,827,1889,1405,466
UCR_2014,TEXAS,AUSTIN,903924,1B,45888,33629,11739,9068,2551,1690,840,2583,1713,849,3902,3256,586
UCR_2014,TEXAS,CORPUS CHRISTI,319211,1C,22838,20728,2061,3986,944,838,105,951,845,105,5137,4720,406
UCR_2014,TEXAS,DALLAS,1272396,1A,42451,20820,21212,10263,1882,678,1195,1920,700,1211,8416,4816,3490
UCR_2014,TEXAS,EL PASO,680273,1B,27815,25473,2288,8067,2064,1910,153,2114,1951,162,2485,2358,123
UCR_2014,TEXAS,FORT WORTH,804907,1B,26636,15622,10782,11793,1322,688,625,1375,710,656,658,429,225
UCR_2014,TEXAS,HOUSTON,2219933,1A,91086,40037,49208,17823,4523,1856,2591,4546,1865,2604,5672,2848,2724
UCR_2014,TEXAS,PLANO,277822,1C,4791,3381,1182,1732,317,211,88,320,214,88,120,94,23
UCR_2014,TEXAS,SAN ANTONIO,1428465,1A,83207,71948,11198,24813,5134,4354,776,5153,4367,782,2622,2303,312
UCR_2014,VA,VIRGINIA BEACH,451102,1C,27100,15636,11163,5261,1250,575,666,1379,617,751,4982,3192,1747
UCR_2014,WASH,SEATTLE,663410,1B,14021,7495,5189,6111,20,8,12,40,19,16,415,239,141
UCR_2014,WIS,MILWAUKEE,600374,1B,36361,8206,27634,10109,1775,309,1446,2171,341,1805,7517,1894,5509
